,id,title,popularity,vote_count,vote_average,original_language,release_date,avg_vote_6+,en = lang,release_month,release_day,release_year
0,531219,Roald Dahl's The Witches,1497.1229999999998,698,6.9,en,2020-10-26,1,1,10,26,2020
1,718444,Rogue,562.0830000000001,354,5.8,en,2020-08-20,0,1,8,20,2020
2,594718,Sputnik,475.98199999999997,50,6.4,ru,2020-09-10,1,1,9,10,2020
3,531499,The Tax Collector,444.615,179,6.0,en,2020-08-07,1,1,8,7,2020
4,425001,The War with Grandpa,347.616,121,6.0,en,2020-08-27,1,1,8,27,2020
5,726739,Cats & Dogs 3: Paws Unite,327.60900000000004,101,6.6,en,2020-10-02,1,1,10,2,2020
7,595149,Death of Me,237.5,47,5.5,en,2020-10-02,0,1,10,2,2020
8,501979,Bill & Ted Face the Music,220.44,260,6.3,en,2020-08-27,1,1,8,27,2020
9,524047,Greenland,241.69299999999998,418,7.1,en,2020-07-29,1,1,7,29,2020
11,413518,Pinocchio,190.127,772,6.7,it,2019-12-19,1,1,12,19,2019
12,590995,The Craft: Legacy,181.735,111,6.4,en,2020-10-28,1,1,10,28,2020
13,529203,The Croods: A New Age,133.132,3,5.7,en,2020-11-19,0,1,11,19,2020
14,417466,Monos,112.04899999999999,185,6.8,es,2019-09-05,1,1,9,5,2019
15,551804,Freaky,109.50399999999999,13,7.9,en,2020-11-11,1,1,11,11,2020
16,520725,The Lost Prince,88.027,176,5.8,fr,2020-02-12,0,1,2,12,2020
17,399363,Wendy,82.825,47,6.5,en,2020-02-28,1,1,2,28,2020
18,587792,Palm Springs,83.34299999999999,690,7.5,en,2020-07-10,1,1,7,10,2020
20,585244,I Still Believe,85.87799999999999,679,7.8,en,2020-03-12,1,1,3,12,2020
21,390635,Fate/stay night: Heaven's Feel III. Spring Song,74.2,18,4.4,ja,2020-08-15,0,1,8,15,2020
22,605499,Monsoon,70.569,7,4.3,en,2020-09-25,0,1,9,25,2020
23,583132,Sadako,76.483,49,6.5,ja,2019-05-24,1,1,5,24,2019
24,610201,The Pale Door,68.268,36,6.1,en,2020-08-21,1,1,8,21,2020
25,527400,Come Away,54.13399999999999,7,5.9,en,2020-11-12,0,1,11,12,2020
27,661950,Alone,62.501000000000005,15,6.1,en,2020-11-18,1,1,11,18,2020
28,516632,The Empty Man,36.296,7,6.3,en,2020-10-22,1,1,10,22,2020
29,585077,Children of the Sea,46.251999999999995,151,7.2,ja,2019-06-07,1,1,6,7,2019
30,596161,Let Him Go,45.799,5,7.5,en,2020-11-05,1,1,11,5,2020
32,547017,Shirley,45.762,15,7.0,en,2020-09-11,1,1,9,11,2020
33,553604,Honest Thief,48.867,52,6.7,en,2020-03-12,1,1,3,12,2020
34,680593,The Dark and the Wicked,29.588,15,6.0,en,2020-10-29,1,1,10,29,2020
35,575446,New Order,44.905,11,6.0,es,2020-10-22,1,1,10,22,2020
36,632632,Given,54.284,4,6.8,ja,2020-08-22,1,1,8,22,2020
37,416153,Arctic Dogs,36.635,73,6.2,en,2019-11-01,1,1,11,1,2019
38,480857,Radioactive,33.955,221,6.4,en,2019-09-06,1,1,9,6,2019
