,TMDB_ID,Movies,Itunes,Google_Play,Amazon_Instant,HBO_Max,Disney_Plus,Others,Netflix,Hulu,Amazon_Prime
724989,724989,Hard Kill,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531219,531219,The Witches,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
528085,528085,2067,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
741074,741074,Once Upon a Snowman,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
340102,340102,The New Mutants,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
613504,613504,After We Collided,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
560050,560050,Over the Moon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
624779,624779,VFW,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
581392,581392,Train to Busan Presents: Peninsula,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
539885,539885,Ava,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
621151,621151,Spell,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
718444,718444,Rogue,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531499,531499,The Tax Collector,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
590223,590223,Love and Monsters,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
446893,446893,Trolls World Tour,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
425001,425001,War with Grandpa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
509635,509635,Alone,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
726739,726739,Cats & Dogs 3: Paws Unite,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
595149,595149,Death of Me,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531876,531876,The Outpost,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
571384,571384,Larry,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
501979,501979,Bill & Ted Face the Music,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
505379,505379,Rebecca,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
579583,579583,The King of Staten Island,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
616251,616251,The Broken Heart Gallery,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
499338,499338,I Believe,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
577922,577922,Tenet,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
667141,667141,12 Hour Shift,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
496243,496243,Parasite,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
479259,479259,Lost Girls and Love Hotels,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
604578,604578,Spontaneous,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
556984,556984,The Trial of the Chicago 7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
575417,575417,On the Rocks,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
457335,457335,Guns Akimbo,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
587792,587792,Palm Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
659986,659986,The Owners,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
590995,590995,The Craft: Legacy,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
412546,412546,Antrum: The Deadliest Film Ever Made,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
551804,551804,Freaky,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
535292,535292,21 Bridges,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
399363,399363,Wendy,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
