,id
0,531219
1,718444
2,425001
3,726739
4,595149
5,611605
6,594718
7,413518
8,501979
9,591629
10,529203
11,417466
12,587792
13,520725
14,390635
15,590995
16,551804
17,585244
18,583132
19,521007
20,531219
21,718444
22,425001
23,726739
24,595149
25,611605
26,594718
27,413518
28,501979
29,591629
30,529203
31,417466
32,587792
33,520725
34,390635
35,590995
36,551804
37,585244
38,583132
39,521007
40,531219
41,718444
42,425001
43,726739
44,595149
45,611605
46,594718
47,413518
48,501979
49,591629
50,529203
51,417466
52,587792
53,520725
54,390635
55,590995
56,551804
57,585244
58,583132
59,521007
60,531219
61,718444
62,425001
63,726739
64,595149
65,611605
66,594718
67,413518
68,501979
69,591629
70,529203
71,417466
72,587792
73,520725
74,390635
75,590995
76,551804
77,585244
78,583132
79,521007
80,531219
81,718444
82,425001
83,726739
84,595149
85,611605
86,594718
87,413518
88,501979
89,591629
90,529203
91,417466
92,587792
93,520725
94,390635
95,590995
96,551804
97,585244
98,583132
99,521007
100,531219
101,718444
102,425001
103,726739
104,595149
105,611605
106,594718
107,413518
108,501979
109,591629
110,529203
111,417466
112,587792
113,520725
114,390635
115,590995
116,551804
117,585244
118,583132
119,521007
120,531219
121,718444
122,425001
123,726739
124,595149
125,611605
126,594718
127,413518
128,501979
129,591629
130,529203
131,417466
132,587792
133,520725
134,390635
135,590995
136,551804
137,585244
138,583132
139,521007
140,531219
141,718444
142,425001
143,726739
144,595149
145,611605
146,594718
147,413518
148,501979
149,591629
150,529203
151,417466
152,587792
153,520725
154,390635
155,590995
156,551804
157,585244
158,583132
159,521007
160,531219
161,718444
162,425001
163,726739
164,595149
165,611605
166,594718
167,413518
168,501979
169,591629
170,529203
171,417466
172,587792
173,520725
174,390635
175,590995
176,551804
177,585244
178,583132
179,521007
180,531219
181,718444
182,425001
183,726739
184,595149
185,611605
186,594718
187,413518
188,501979
189,591629
190,529203
191,417466
192,587792
193,520725
194,390635
195,590995
196,551804
197,585244
198,583132
199,521007
200,531219
201,718444
202,425001
203,726739
204,595149
205,611605
206,594718
207,413518
208,501979
209,591629
210,529203
211,417466
212,587792
213,520725
214,390635
215,590995
216,551804
217,585244
218,583132
219,521007
220,531219
221,718444
222,425001
223,726739
224,595149
225,611605
226,594718
227,413518
228,501979
229,591629
230,529203
231,417466
232,587792
233,520725
234,390635
235,590995
236,551804
237,585244
238,583132
239,521007
240,531219
241,718444
242,425001
243,726739
244,595149
245,611605
246,594718
247,413518
248,501979
249,591629
250,529203
251,417466
252,587792
253,520725
254,390635
255,590995
256,551804
257,585244
258,583132
259,521007
260,531219
261,718444
262,425001
263,726739
264,595149
265,611605
266,594718
267,413518
268,501979
269,591629
270,529203
271,417466
272,587792
273,520725
274,390635
275,590995
276,551804
277,585244
278,583132
279,521007
280,531219
281,718444
282,425001
283,726739
284,595149
285,611605
286,594718
287,413518
288,501979
289,591629
290,529203
291,417466
292,587792
293,520725
294,390635
295,590995
296,551804
297,585244
298,583132
299,521007
300,531219
301,718444
302,425001
303,726739
304,595149
305,611605
306,594718
307,413518
308,501979
309,591629
310,529203
311,417466
312,587792
313,520725
314,390635
315,590995
316,551804
317,585244
318,583132
319,521007
320,531219
321,718444
322,425001
323,726739
324,595149
325,611605
326,594718
327,413518
328,501979
329,591629
330,529203
331,417466
332,587792
333,520725
334,390635
335,590995
336,551804
337,585244
338,583132
339,521007
340,531219
341,718444
342,425001
343,726739
344,595149
345,611605
346,594718
347,413518
348,501979
349,591629
350,529203
351,417466
352,587792
353,520725
354,390635
355,590995
356,551804
357,585244
358,583132
359,521007
360,531219
361,718444
362,425001
363,726739
364,595149
365,611605
366,594718
367,413518
368,501979
369,591629
370,529203
371,417466
372,587792
373,520725
374,390635
375,590995
376,551804
377,585244
378,583132
379,521007
380,531219
381,718444
382,425001
383,726739
384,595149
385,611605
386,594718
387,413518
388,501979
389,591629
390,529203
391,417466
392,587792
393,520725
394,390635
395,590995
396,551804
397,585244
398,583132
399,521007
400,531219
401,718444
402,425001
403,726739
404,595149
405,611605
406,594718
407,413518
408,501979
409,591629
410,529203
411,417466
412,587792
413,520725
414,390635
415,590995
416,551804
417,585244
418,583132
419,521007
420,531219
421,718444
422,425001
423,726739
424,595149
425,611605
426,594718
427,413518
428,501979
429,591629
430,529203
431,417466
432,587792
433,520725
434,390635
435,590995
436,551804
437,585244
438,583132
439,521007
440,531219
441,718444
442,425001
443,726739
444,595149
445,611605
446,594718
447,413518
448,501979
449,591629
450,529203
451,417466
452,587792
453,520725
454,390635
455,590995
456,551804
457,585244
458,583132
459,521007
460,531219
461,718444
462,425001
463,726739
464,595149
465,611605
466,594718
467,413518
468,501979
469,591629
470,529203
471,417466
472,587792
473,520725
474,390635
475,590995
476,551804
477,585244
478,583132
479,521007
480,531219
481,718444
482,425001
483,726739
484,595149
485,611605
486,594718
487,413518
488,501979
489,591629
490,529203
491,417466
492,587792
493,520725
494,390635
495,590995
496,551804
497,585244
498,583132
499,521007
500,531219
501,718444
502,425001
503,726739
504,595149
505,611605
506,594718
507,413518
508,501979
509,591629
510,529203
511,417466
512,587792
513,520725
514,390635
515,590995
516,551804
517,585244
518,583132
519,521007
520,531219
521,718444
522,425001
523,726739
524,595149
525,611605
526,594718
527,413518
528,501979
529,591629
530,529203
531,417466
532,587792
533,520725
534,390635
535,590995
536,551804
537,585244
538,583132
539,521007
540,531219
541,718444
542,425001
543,726739
544,595149
545,611605
546,594718
547,413518
548,501979
549,591629
550,529203
551,417466
552,587792
553,520725
554,390635
555,590995
556,551804
557,585244
558,583132
559,521007
560,531219
561,718444
562,425001
563,726739
564,595149
565,611605
566,594718
567,413518
568,501979
569,591629
570,529203
571,417466
572,587792
573,520725
574,390635
575,590995
576,551804
577,585244
578,583132
579,521007
580,531219
581,718444
582,425001
583,726739
584,595149
585,611605
586,594718
587,413518
588,501979
589,591629
590,529203
591,417466
592,587792
593,520725
594,390635
595,590995
596,551804
597,585244
598,583132
599,521007
600,531219
601,718444
602,425001
603,726739
604,595149
605,611605
606,594718
607,413518
608,501979
609,591629
610,529203
611,417466
612,587792
613,520725
614,390635
615,590995
616,551804
617,585244
618,583132
619,521007
620,531219
621,718444
622,425001
623,726739
624,595149
625,611605
626,594718
627,413518
628,501979
629,591629
630,529203
631,417466
632,587792
633,520725
634,390635
635,590995
636,551804
637,585244
638,583132
639,521007
640,531219
641,718444
642,425001
643,726739
644,595149
645,611605
646,594718
647,413518
648,501979
649,591629
650,529203
651,417466
652,587792
653,520725
654,390635
655,590995
656,551804
657,585244
658,583132
659,521007
660,531219
661,718444
662,425001
663,726739
664,595149
665,611605
666,594718
667,413518
668,501979
669,591629
670,529203
671,417466
672,587792
673,520725
674,390635
675,590995
676,551804
677,585244
678,583132
679,521007
680,531219
681,718444
682,425001
683,726739
684,595149
685,611605
686,594718
687,413518
688,501979
689,591629
690,529203
691,417466
692,587792
693,520725
694,390635
695,590995
696,551804
697,585244
698,583132
699,521007
700,531219
701,718444
702,425001
703,726739
704,595149
705,611605
706,594718
707,413518
708,501979
709,591629
710,529203
711,417466
712,587792
713,520725
714,390635
715,590995
716,551804
717,585244
718,583132
719,521007
720,531219
721,718444
722,425001
723,726739
724,595149
725,611605
726,594718
727,413518
728,501979
729,591629
730,529203
731,417466
732,587792
733,520725
734,390635
735,590995
736,551804
737,585244
738,583132
739,521007
740,531219
741,718444
742,425001
743,726739
744,595149
745,611605
746,594718
747,413518
748,501979
749,591629
750,529203
751,417466
752,587792
753,520725
754,390635
755,590995
756,551804
757,585244
758,583132
759,521007
760,531219
761,718444
762,425001
763,726739
764,595149
765,611605
766,594718
767,413518
768,501979
769,591629
770,529203
771,417466
772,587792
773,520725
774,390635
775,590995
776,551804
777,585244
778,583132
779,521007
780,531219
781,718444
782,425001
783,726739
784,595149
785,611605
786,594718
787,413518
788,501979
789,591629
790,529203
791,417466
792,587792
793,520725
794,390635
795,590995
796,551804
797,585244
798,583132
799,521007
800,531219
801,718444
802,425001
803,726739
804,595149
805,611605
806,594718
807,413518
808,501979
809,591629
810,529203
811,417466
812,587792
813,520725
814,390635
815,590995
816,551804
817,585244
818,583132
819,521007
820,531219
821,718444
822,425001
823,726739
824,595149
825,611605
826,594718
827,413518
828,501979
829,591629
830,529203
831,417466
832,587792
833,520725
834,390635
835,590995
836,551804
837,585244
838,583132
839,521007
840,531219
841,718444
842,425001
843,726739
844,595149
845,611605
846,594718
847,413518
848,501979
849,591629
850,529203
851,417466
852,587792
853,520725
854,390635
855,590995
856,551804
857,585244
858,583132
859,521007
860,531219
861,718444
862,425001
863,726739
864,595149
865,611605
866,594718
867,413518
868,501979
869,591629
870,529203
871,417466
872,587792
873,520725
874,390635
875,590995
876,551804
877,585244
878,583132
879,521007
880,531219
881,718444
882,425001
883,726739
884,595149
885,611605
886,594718
887,413518
888,501979
889,591629
890,529203
891,417466
892,587792
893,520725
894,390635
895,590995
896,551804
897,585244
898,583132
899,521007
900,531219
901,718444
902,425001
903,726739
904,595149
905,611605
906,594718
907,413518
908,501979
909,591629
910,529203
911,417466
912,587792
913,520725
914,390635
915,590995
916,551804
917,585244
918,583132
919,521007
920,531219
921,718444
922,425001
923,726739
924,595149
925,611605
926,594718
927,413518
928,501979
929,591629
930,529203
931,417466
932,587792
933,520725
934,390635
935,590995
936,551804
937,585244
938,583132
939,521007
940,531219
941,718444
942,425001
943,726739
944,595149
945,611605
946,594718
947,413518
948,501979
949,591629
950,529203
951,417466
952,587792
953,520725
954,390635
955,590995
956,551804
957,585244
958,583132
959,521007
960,531219
961,718444
962,425001
963,726739
964,595149
965,611605
966,594718
967,413518
968,501979
969,591629
970,529203
971,417466
972,587792
973,520725
974,390635
975,590995
976,551804
977,585244
978,583132
979,521007
980,531219
981,718444
982,425001
983,726739
984,595149
985,611605
986,594718
987,413518
988,501979
989,591629
990,529203
991,417466
992,587792
993,520725
994,390635
995,590995
996,551804
997,585244
998,583132
999,521007
1000,531219
1001,718444
1002,425001
1003,726739
1004,595149
1005,611605
1006,594718
1007,413518
1008,501979
1009,591629
1010,529203
1011,417466
1012,587792
1013,520725
1014,390635
1015,590995
1016,551804
1017,585244
1018,583132
1019,521007
1020,531219
1021,718444
1022,425001
1023,726739
1024,595149
1025,611605
1026,594718
1027,413518
1028,501979
1029,591629
1030,529203
1031,417466
1032,587792
1033,520725
1034,390635
1035,590995
1036,551804
1037,585244
1038,583132
1039,521007
1040,531219
1041,718444
1042,425001
1043,726739
1044,595149
1045,611605
1046,594718
1047,413518
1048,501979
1049,591629
1050,529203
1051,417466
1052,587792
1053,520725
1054,390635
1055,590995
1056,551804
1057,585244
1058,583132
1059,521007
1060,531219
1061,718444
1062,425001
1063,726739
1064,595149
1065,611605
1066,594718
1067,413518
1068,501979
1069,591629
1070,529203
1071,417466
1072,587792
1073,520725
1074,390635
1075,590995
1076,551804
1077,585244
1078,583132
1079,521007
1080,531219
1081,718444
1082,425001
1083,726739
1084,595149
1085,611605
1086,594718
1087,413518
1088,501979
1089,591629
1090,529203
1091,417466
1092,587792
1093,520725
1094,390635
1095,590995
1096,551804
1097,585244
1098,583132
1099,521007
1100,531219
1101,718444
1102,425001
1103,726739
1104,595149
1105,611605
1106,594718
1107,413518
1108,501979
1109,591629
1110,529203
1111,417466
1112,587792
1113,520725
1114,390635
1115,590995
1116,551804
1117,585244
1118,583132
1119,521007
1120,531219
1121,718444
1122,425001
1123,726739
1124,595149
1125,611605
1126,594718
1127,413518
1128,501979
1129,591629
1130,529203
1131,417466
1132,587792
1133,520725
1134,390635
1135,590995
1136,551804
1137,585244
1138,583132
1139,521007
1140,531219
1141,718444
1142,425001
1143,726739
1144,595149
1145,611605
1146,594718
1147,413518
1148,501979
1149,591629
1150,529203
1151,417466
1152,587792
1153,520725
1154,390635
1155,590995
1156,551804
1157,585244
1158,583132
1159,521007
1160,531219
1161,718444
1162,425001
1163,726739
1164,595149
1165,611605
1166,594718
1167,413518
1168,501979
1169,591629
1170,529203
1171,417466
1172,587792
1173,520725
1174,390635
1175,590995
1176,551804
1177,585244
1178,583132
1179,521007
1180,531219
1181,718444
1182,425001
1183,726739
1184,595149
1185,611605
1186,594718
1187,413518
1188,501979
1189,591629
1190,529203
1191,417466
1192,587792
1193,520725
1194,390635
1195,590995
1196,551804
1197,585244
1198,583132
1199,521007
1200,531219
1201,718444
1202,425001
1203,726739
1204,595149
1205,611605
1206,594718
1207,413518
1208,501979
1209,591629
1210,529203
1211,417466
1212,587792
1213,520725
1214,390635
1215,590995
1216,551804
1217,585244
1218,583132
1219,521007
1220,531219
1221,718444
1222,425001
1223,726739
1224,595149
1225,611605
1226,594718
1227,413518
1228,501979
1229,591629
1230,529203
1231,417466
1232,587792
1233,520725
1234,390635
1235,590995
1236,551804
1237,585244
1238,583132
1239,521007
1240,531219
1241,718444
1242,425001
1243,726739
1244,595149
1245,611605
1246,594718
1247,413518
1248,501979
1249,591629
1250,529203
1251,417466
1252,587792
1253,520725
1254,390635
1255,590995
1256,551804
1257,585244
1258,583132
1259,521007
1260,531219
1261,718444
1262,425001
1263,726739
1264,595149
1265,611605
1266,594718
1267,413518
1268,501979
1269,591629
1270,529203
1271,417466
1272,587792
1273,520725
1274,390635
1275,590995
1276,551804
1277,585244
1278,583132
1279,521007
1280,531219
1281,718444
1282,425001
1283,726739
1284,595149
1285,611605
1286,594718
1287,413518
1288,501979
1289,591629
1290,529203
1291,417466
1292,587792
1293,520725
1294,390635
1295,590995
1296,551804
1297,585244
1298,583132
1299,521007
1300,531219
1301,718444
1302,425001
1303,726739
1304,595149
1305,611605
1306,594718
