,np_id,np_title,genre_id,release_date,vote_count,np_populatrity,original_language,timeframe_end,timeframe_start
0,724989,Hard Kill,"[28, 53]",2020-10-23,117,1644.732,en,2020-11-17,2020-09-30
1,671039,Rogue City,"[53, 28, 18, 80]",2020-10-30,148,1622.107,fr,2020-11-17,2020-09-30
2,531219,Roald Dahl's The Witches,"[14, 10751, 12, 35, 27]",2020-10-26,620,1507.392,en,2020-11-17,2020-09-30
3,528085,2067,"[878, 53, 18]",2020-10-01,296,1278.003,en,2020-11-17,2020-09-30
4,741074,Once Upon a Snowman,"[16, 10751, 35, 14]",2020-10-23,129,984.986,en,2020-11-17,2020-09-30
5,340102,The New Mutants,"[28, 878, 27, 12]",2020-08-26,551,941.338,en,2020-11-17,2020-09-30
6,613504,After We Collided,"[10749, 18]",2020-09-02,1695,836.766,en,2020-11-17,2020-09-30
7,635302,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"[16, 28, 36, 12, 14, 18]",2020-10-16,64,828.001,ja,2020-11-17,2020-09-30
8,560050,Over the Moon,"[16, 12, 10751, 14]",2020-10-16,364,742.496,en,2020-11-17,2020-09-30
9,624779,VFW,"[28, 53, 27]",2020-10-14,9,699.114,en,2020-11-17,2020-09-30
10,581392,Peninsula,"[28, 27, 53]",2020-07-15,742,661.691,ko,2020-11-17,2020-09-30
11,539885,Ava,"[28, 80, 18, 53]",2020-07-02,601,571.175,en,2020-11-17,2020-09-30
12,621151,Spell,"[53, 27]",2020-10-30,23,526.068,en,2020-11-17,2020-09-30
13,718444,Rogue,"[28, 12, 18, 53]",2020-08-20,345,457.424,en,2020-11-17,2020-09-30
14,531499,The Tax Collector,"[28, 80, 18]",2020-08-07,172,401.21,en,2020-11-17,2020-09-30
15,590223,Love and Monsters,"[28, 12, 35, 878]",2020-10-16,327,363.788,en,2020-11-17,2020-09-30
16,446893,Trolls World Tour,"[16, 10751, 35, 14, 12, 10402]",2020-03-12,1276,323.802,en,2020-11-17,2020-09-30
17,425001,The War with Grandpa,"[35, 10751, 18]",2020-08-27,114,288.214,en,2020-11-17,2020-09-30
18,509635,Alone,[53],2020-09-10,95,271.304,en,2020-11-17,2020-09-30
19,726739,Cats & Dogs 3: Paws Unite,"[35, 28]",2020-10-02,95,254.195,en,2020-11-17,2020-09-30
20,595149,Death of Me,[27],2020-10-02,47,228.774,en,2020-11-17,2020-09-30
21,524216,The Mortuary Collection,"[14, 27]",2020-10-08,37,210.426,en,2020-11-17,2020-09-30
22,531876,The Outpost,"[10752, 18, 36, 28]",2020-06-24,422,168.524,en,2020-11-17,2020-09-30
23,413518,Pinocchio,"[14, 10751, 12, 18]",2019-12-19,766,163.931,it,2020-11-17,2020-09-30
24,571384,Come Play,[27],2020-10-28,23,153.689,en,2020-11-17,2020-09-30
25,616803,Breaking Surface,"[53, 18, 28]",2020-02-14,145,152.746,sv,2020-11-17,2020-09-30
26,501979,Bill & Ted Face the Music,"[35, 878, 12]",2020-08-27,250,149.244,en,2020-11-17,2020-09-30
27,505379,Rebecca,"[10749, 18, 9648, 53]",2020-10-16,365,147.862,en,2020-11-17,2020-09-30
28,579583,The King of Staten Island,"[35, 18]",2020-07-22,196,139.306,en,2020-11-17,2020-09-30
29,616251,The Broken Hearts Gallery,"[35, 10749]",2020-09-11,31,136.997,en,2020-11-17,2020-09-30
30,499338,I Believe,[10751],2017-11-07,36,131.683,en,2020-11-17,2020-09-30
31,577922,Tenet,"[28, 53, 878]",2020-08-22,2236,127.359,en,2020-11-17,2020-09-30
32,667141,12 Hour Shift,"[53, 27, 35, 80]",2020-10-02,72,118.994,en,2020-11-17,2020-09-30
33,496243,Parasite,"[35, 53, 18]",2019-05-30,9683,113.512,ko,2020-11-17,2020-09-30
34,627661,Cranston Academy: Monster Zone,[16],2020-04-29,33,112.589,en,2020-11-17,2020-09-30
35,479259,Lost Girls & Love Hotels,[18],2020-09-18,56,112.502,en,2020-11-17,2020-09-30
36,604578,Spontaneous,"[35, 10749, 878]",2020-10-02,52,106.44,en,2020-11-17,2020-09-30
37,556984,The Trial of the Chicago 7,"[18, 36, 53]",2020-09-25,526,105.416,en,2020-11-17,2020-09-30
38,575417,On the Rocks,"[18, 35]",2020-10-02,131,96.574,en,2020-11-17,2020-09-30
39,457335,Guns Akimbo,"[35, 28]",2019-09-09,987,87.799,en,2020-11-17,2020-09-30
40,587792,Palm Springs,"[35, 10749, 14, 9648]",2020-07-10,637,81.896,en,2020-11-17,2020-09-30
41,659986,The Owners,"[53, 27, 28]",2020-08-27,99,81.321,en,2020-11-17,2020-09-30
42,390635,Fate/stay night: Heaven's Feel III. Spring Song,[16],2020-08-15,18,80.591,ja,2020-11-17,2020-09-30
43,590995,The Craft: Legacy,"[27, 18, 14]",2020-10-28,91,79.182,en,2020-11-17,2020-09-30
44,412546,Antrum,[27],2020-10-23,28,76.977,en,2020-11-17,2020-09-30
45,551804,Freaky,"[27, 53, 35]",2020-11-11,2,74.681,en,2020-11-17,2020-09-30
46,535292,21 Bridges,"[28, 80, 18]",2019-10-24,999,69.665,en,2020-11-17,2020-09-30
47,552687,Wotakoi: Love is Hard for Otaku,"[35, 10749]",2020-02-07,23,68.382,ja,2020-11-17,2020-09-30
48,399363,Wendy,"[12, 14, 10751]",2020-02-28,46,67.594,en,2020-11-17,2020-09-30
49,625568,Unhinged,"[28, 53]",2020-07-02,364,67.511,en,2020-11-17,2020-09-30
50,585244,I Still Believe,"[18, 10402]",2020-03-12,673,66.737,en,2020-11-17,2020-09-30
51,554311,Zombi Child,"[18, 14, 27]",2019-06-12,61,65.596,fr,2020-11-17,2020-09-30
52,471707,Corpus Christi,[18],2020-01-09,174,64.764,pl,2020-11-17,2020-09-30
53,524047,Greenland,"[28, 53]",2020-07-29,187,60.617,en,2020-11-17,2020-09-30
54,378112,Salma's Big Wish,"[16, 10751, 14]",2019-10-24,71,59.276,es,2020-11-17,2020-09-30
55,694,The Shining,"[27, 53]",1980-05-23,11937,55.16,en,2020-11-17,2020-09-30
56,550231,The Secret: Dare to Dream,"[18, 10749]",2020-04-16,129,54.814,en,2020-11-17,2020-09-30
57,550738,Spycies,"[28, 12, 16, 35, 10751]",2020-01-11,142,54.499,fr,2020-11-17,2020-09-30
58,9552,The Exorcist,[27],1973-05-31,5197,51.072,en,2020-11-17,2020-09-30
59,442065,The Last Full Measure,"[18, 10752]",2020-01-23,135,50.598,en,2020-11-17,2020-09-30
60,610201,The Pale Door,"[27, 37]",2020-08-21,36,49.482,en,2020-11-17,2020-09-30
61,637920,Miracle in Cell No. 7,"[18, 35, 10751]",2019-10-10,3312,48.926,tr,2020-11-17,2020-09-30
62,573699,White Snake,"[10749, 16, 14]",2019-01-11,159,48.368,zh,2020-11-17,2020-09-30
63,501953,Eternal Beauty,"[35, 18]",2020-08-21,20,47.77,en,2020-11-17,2020-09-30
64,516632,The Empty Man,"[80, 18, 27]",2020-10-22,6,44.532,en,2020-11-17,2020-09-30
65,596161,Let Him Go,"[18, 53, 80]",2020-11-05,3,44.038,en,2020-11-17,2020-09-30
66,716799,461 Days of Bento: A Promise Between Father and Son,[18],2020-11-06,0,43.055,ja,2020-11-17,2020-09-30
67,585077,Children of the Sea,"[16, 14, 12, 9648]",2019-06-07,148,41.811,ja,2020-11-17,2020-09-30
68,603673,Laxmii,"[27, 35]",2020-11-09,5,40.562,hi,2020-11-17,2020-09-30
69,680593,The Dark and the Wicked,[27],2020-10-29,8,39.811,en,2020-11-17,2020-09-30
70,661950,Alone,"[27, 53]",2020-11-18,0,38.452,en,2020-11-17,2020-09-30
71,617786,The Other Lamb,"[27, 18, 53]",2020-04-03,74,38.375,en,2020-11-17,2020-09-30
72,553604,Honest Thief,"[28, 53, 80, 18]",2020-03-12,50,38.2,en,2020-11-17,2020-09-30
73,435615,Possessor Uncut,"[53, 878, 27]",2020-10-02,42,38.016,en,2020-11-17,2020-09-30
74,592984,Hillbilly Elegy,[18],2020-11-11,1,38.005,en,2020-11-17,2020-09-30
75,529485,The Way Back,[18],2020-03-05,402,37.145,en,2020-11-17,2020-09-30
76,738041,Becsúszó szerelem,[],2020-11-12,0,36.987,en,2020-11-17,2020-09-30
77,717042,Peace,"[10752, 53]",2020-11-10,0,36.601,en,2020-11-17,2020-09-30
78,416153,Arctic Dogs,"[16, 12, 35]",2019-11-01,69,36.198,en,2020-11-17,2020-09-30
79,632632,Given,"[16, 18, 10402]",2020-08-22,4,35.913,ja,2020-11-17,2020-09-30
80,568467,Ammonite,"[10749, 18]",2020-11-13,0,35.333,en,2020-11-17,2020-09-30
81,62,2001: A Space Odyssey,"[878, 9648, 12]",1968-04-09,7799,35.057,en,2020-11-17,2020-09-30
82,602211,Fatman,"[28, 35]",2020-11-13,0,35.046,en,2020-11-17,2020-09-30
83,480434,Dreamland,"[53, 18]",2020-11-13,4,35.039,en,2020-11-17,2020-09-30
84,556501,Jungleland,[18],2020-11-06,4,34.299,en,2020-11-17,2020-09-30
85,463870,Dead Reckoning,[53],2020-11-13,0,34.184,en,2020-11-17,2020-09-30
86,568994,Driveways,[18],2020-11-12,0,33.596,en,2020-11-17,2020-09-30
87,758935,Blindfire,"[80, 18, 53]",2020-11-13,0,31.587,en,2020-11-17,2020-09-30
88,9323,Ghost in the Shell,"[28, 16, 878]",1995-11-18,1967,31.104,ja,2020-11-17,2020-09-30
89,595671,Never Rarely Sometimes Always,[18],2020-03-13,105,30.946,en,2020-11-17,2020-09-30
90,567965,Misbehaviour,"[18, 36, 35]",2020-03-12,65,30.698,en,2020-11-17,2020-09-30
91,653615,Amulet,[27],2020-07-24,56,30.635,en,2020-11-17,2020-09-30
92,575446,New Order,[18],2020-10-22,10,30.316,es,2020-11-17,2020-09-30
93,619594,My Salinger Year,[18],2020-11-13,0,30.045,en,2020-11-17,2020-09-30
94,664297,She Dies Tomorrow,"[35, 18, 9648, 878, 53]",2020-07-31,29,30.018,en,2020-11-17,2020-09-30
95,429422,Capone,"[80, 18]",2020-07-10,68,29.969,en,2020-11-17,2020-09-30
96,491926,Resistance,"[18, 36, 10752]",2020-03-27,125,29.723,en,2020-11-17,2020-09-30
97,681326,It Cuts Deep,"[35, 27]",2020-11-13,0,29.6,en,2020-11-17,2020-09-30
98,430155,Coma,"[14, 28, 878]",2019-11-19,212,28.952,ru,2020-11-17,2020-09-30
99,584249,Servants,[18],2020-11-12,0,28.7,sk,2020-11-17,2020-09-30
100,537655,The Bears' Famous Invasion of Sicily,[16],2019-10-09,88,28.54,fr,2020-11-17,2020-09-30
101,257475,Tamako Love Story,"[10749, 16, 35]",2014-04-26,52,28.309,ja,2020-11-17,2020-09-30
102,653606,The Last Shift,"[35, 18]",2020-11-13,0,27.422,en,2020-11-17,2020-09-30
103,717672,Kindred,"[18, 9648, 27, 53]",2020-11-06,2,26.999,en,2020-11-17,2020-09-30
104,478860,Proxima,[18],2019-11-27,154,26.055,fr,2020-11-17,2020-09-30
105,861,Total Recall,"[28, 12, 878]",1990-06-01,3726,26.048,en,2020-11-17,2020-09-30
106,539181,Relic,"[27, 18, 9648]",2020-07-03,201,25.645,en,2020-11-17,2020-09-30
107,700578,Kaiserschmarrndrama,"[35, 9648, 80]",2020-11-12,0,25.376,de,2020-11-17,2020-09-30
108,498402,The Power of Love (Famous),"[18, 35]",2020-11-11,0,25.219,fr,2020-11-17,2020-09-30
109,597904,Tsoi,[18],2020-11-12,0,24.401,ru,2020-11-17,2020-09-30
