,id,title,popularity,en = lang,release_month,release_day,release_year,Output
6,591629,Lady Driver,267.579,1,12,3,2020,1
26,458576,Monster Hunter,53.043,1,12,3,2020,1
31,521007,Superintelligence,33.184,1,11,26,2020,1
49,314514,El Viaje de Ana,24.098000000000000,1,11,18,2020,1
58,502033,Sound of Metal,15.446,1,11,20,2020,1
63,426793,Parallel,16.473,1,12,11,2020,1
88,589456,Find Your Voice,10.972000000000000,0,11,13,2020,1
89,592777,Should the Wind Drop,15.249,1,11,18,2020,1
92,514466,Supercool,9.298,1,11,28,2020,1
94,353047,Zappa,14.826000000000000,1,11,27,2020,1
101,522772,Sk8r Grrl,12.022,1,11,22,2020,1
108,532961,Looking for Witch Apprentices,9.782,1,11,13,2020,1
109,581734,Nomadland,13.468,1,11,30,2020,1
125,572488,A Christmas Carol,10.626,1,12,4,2020,1
129,566135,Tezuka's Barbara,11.448,1,11,20,2020,1
130,583754,Young Blooded Wine,11.291000000000000,1,11,19,2020,1
131,583757,Princess of the Row,9.078,1,11,27,2020,1
137,530368,Spirál,10.769,1,11,19,2020,1
151,498402,The Power of Love (Famous),5.632000000000000,1,11,11,2020,1
152,575072,Run,9.747,1,11,19,2020,1
155,570871,Final Voyage,8.181000000000000,0,12,3,2020,1
157,540023,Wander Darkly,9.446,1,12,11,2020,1
182,547565,The Night House,6.4240000000000000,1,10,1,2020,1
194,583293,Complete Strangers,6.26,1,12,1,2020,1
